symbol	S1	S3	S4	S7	S8	S9	S6	R1	R3	R4	R6	R7	R9	R5	avgCounts	foldChange	log2FoldChange	pvalue	padj	log10padj	Tier
KAT2B	154.375025328751	86.2136311982108	149.296566198898	127.326749008151	63.3461197106047	132.684749150358	157.948910989103	56.9618310615937	53.1403824554826	76.536675378216	108.669794169693	91.1462697873034	43.4470839369704	91.1148478300942	99.4434740145307	0.597415484305175	-0.743193463799115	0.009535866748495	0.124441946867403	0.905033203066739	NonDEG
MUC16	4311.46056794631	12526.1952685168	996.409721323455	4669.79656112771	1813.27725818473	2448.29766244004	3520.2534838951	1681.31999958885	2050.11604985999	572.522879367945	1212.35305750506	4230.84159566639	418.301050232641	1678.82978135897	3009.28392407243	0.390929975397841	-1.35501788426935	0.009565266649592	0.124441946867403	0.905033203066739	NonDEG
NDUFA6	717.430173312924	1240.63313298416	425.70876123528	796.311424970399	730.77016459878	731.561689079984	683.557683248725	553.626179951198	573.073235082064	521.431137161604	317.627913737039	669.538683669703	367.269216101315	440.40334129985	626.353052602359	0.646017486842499	-0.630354877585029	0.00954690991468	0.124441946867403	0.905033203066739	NonDEG
RPS20	14036.6626051568	14722.704731119	7049.08807358528	14199.5596795502	11547.9295197834	13319.5284348584	9504.75970926382	12514.9014977112	25365.9072575258	31890.4118351758	18483.4115428145	16237.8763157024	11581.4818798608	18011.6508026578	15604.7052774832	1.58887047593531	0.668001521576221	0.009580429332255	0.124441946867403	0.905033203066739	NonDEG
SERPINB9	112.881879840882	58.6351113406822	37.6369172841083	66.0699491493369	63.1080424953888	71.4460614862239	77.0354874026815	54.4057270659647	10.2749938393925	54.132923171049	16.4345918170368	24.9075763509129	39.6684202863445	47.0963158548799	52.4095712417774	0.502573759697174	-0.992592747471075	0.009534317771934	0.124441946867403	0.905033203066739	NonDEG
SYNE1	108.068666836777	30.9577314745089	97.1645900697932	45.0056687968599	123.718548845283	82.79820010618	94.5646189017988	74.5734876245428	21.1403393465499	41.2896569246369	22.1929683938382	54.9603056627136	52.9360013658225	28.6615836943492	62.7165977174039	0.505909245521525	-0.98304949016366	0.009458804601757	0.124441946867403	0.905033203066739	NonDEG
SYS1	378.081153123235	401.594277306766	524.550839596764	383.81798209124	445.154915671111	372.358750505585	395.562304821061	460.009735289199	755.249383215576	388.673518371127	692.328207904934	622.830548714798	653.753287851395	481.451408750602	496.815450943814	1.39791746128264	0.483279180660721	0.009575348259234	0.124441946867403	0.905033203066739	NonDEG
TIGD1	52.0018870792567	33.6954211914892	58.4005165191511	45.1057810889497	50.6523404225351	22.5790636278936	18.7540528304489	96.9050037273704	80.480951591562	29.7529493915302	34.3550998794788	72.0145838782245	123.532773030368	126.34497647819	60.3268143383177	2.01761358926774	1.01264989782038	0.009554290420438	0.124441946867403	0.905033203066739	NonDEG
WHSC2	235.503299137998	362.005027975204	577.07559083604	455.6933083887	275.758909645769	422.521055221117	324.931018831643	612.987524275258	540.282843555079	581.803572838477	1311.4537968009	355.453788571691	452.475569553403	660.331890215774	512.019799703361	1.70117065015207	0.766527869854518	0.009487895623327	0.124441946867403	0.905033203066739	NonDEG
ZNF670	28.5501168666627	50.5854884551051	37.7727144893199	68.9950845292513	39.1654644689732	56.5076354922585	30.2810098985664	54.3372196895348	79.4954420879809	79.5765857021955	68.983790263004	39.0540302559584	124.094801825599	99.5164945553182	61.2082770414091	1.75490160852379	0.811390145701332	0.009533573713821	0.124441946867403	0.905033203066739	NonDEG
PEX19	216.310277560858	319.357714487932	209.28437136439	326.264966593522	171.77886789966	244.019129937825	224.481966313215	292.608941096417	390.252974543585	295.216699914056	370.863153951092	274.194516868059	508.285561775617	364.290103727575	300.514946145272	1.45804354476802	0.54403380669007	0.00959330126025	0.124459551884178	0.904971767023242	NonDEG
LYN	229.53296185538	277.71056281469	110.960486362073	149.552450298045	249.021542558353	253.987644398581	315.751728480586	110.473042184831	65.9235905589148	281.739461788266	93.152514079975	134.462491339808	80.1540379568895	97.9162446501424	175.024197094752	0.542829482434437	-0.881429015606523	0.009678226523616	0.125410784221479	0.901665116404003	NonDEG
SRGN	1892.94043818876	520.382110234194	365.391394133074	394.759795759043	1205.03776226147	895.443087276942	499.989892988526	708.869900843738	136.874533162203	359.265539057957	212.904036321677	128.537564769331	267.484605729764	703.456512976236	592.238369550208	0.435698692727322	-1.19859731029767	0.009702847818003	0.125579253136717	0.90108210416959	NonDEG
GPR141	48.5305152416122	34.2009899144205	79.8838630089137	13.6017632697139	196.236393749012	43.3298105044259	94.2355717988253	69.3441898066008	5.33028292675296	20.4607585946332	11.9512112508427	36.7025910539011	14.4238093140601	1.97757432926959	47.8720946259274	0.308943349842588	-1.69458577583187	0.009724417544622	0.125707871297523	0.900637527771062	NonDEG
FAS	204.951694116793	110.067335500339	196.72252745601	121.910057887193	137.534082036563	224.867794313219	133.324103792808	92.8321456352158	49.5114510766726	105.37032115217	50.4831880812719	166.650825290412	35.3123841662915	114.436956925669	124.569633387902	0.542905181073147	-0.881227842972885	0.00976096590418	0.126029580079417	0.899527510774767	NonDEG
